,Unnamed: 0,id,species,#reads_downloaded,#reads_before,#reads_after,#contigs_before,#contigs_after,genome_size
79,79,SRR15979874,Formica subnitens,14934971,8646155,6477228,362700.0,261340.0,
80,80,SRR15979875,Formica uralensis,18931457,18931457,,,,
81,81,SRR15979876,Formica polyctena,14251561,8338465,6132392,382544.0,262474.0,
82,82,SRR15979877,Formica rufa,13177632,7429688,4918325,370990.0,249011.0,
83,83,SRR15979878,Formica cf. frontalis F0017,15286794,9319881,7099754,314362.0,223740.0,
84,84,SRR15979879,Formica propinqua,37737310,37737310,,,,
85,85,SRR15845610,Formica cinerea,22989217,22989217,,,,
86,86,SRR15845621,Formica cinerea,25139679,25139679,,,,
87,87,SRR15845632,Formica truncorum,21810495,21810495,,,,
88,88,SRR15845271,Formica truncorum,22682748,22682748,,,,
89,89,SRR15845282,Formica lemani,23219842,23219842,,,,
90,90,SRR15845293,Formica lemani,26164220,26164220,,,,
91,91,SRR15845377,Formica lemani,22725962,22725962,,,,
92,92,SRR15845476,Polyergus mexicanus,19736220,14999750,12278315,275273.0,56046.0,
93,93,SRR15845487,Polyergus vinosus,13211860,9861619,8469748,264404.0,67318.0,
94,94,SRR15845488,Formica exsecta,22785148,22785148,,,,
95,95,SRR15845499,Formica fennica,14021382,9850415,6598443,149399.0,81502.0,
96,96,SRR15845510,Formica lugubris,15291636,10873909,7358926,162023.0,73207.0,
97,97,SRR15845521,Formica fuscocinerea,16652775,12280852,9437041,129704.0,86554.0,
98,98,SRR15845526,Formica picea,25084958,25084958,,,,
99,99,SRR15845527,Formica exsecta,23962129,23962129,,2765514.0,,
100,100,SRR15845528,Formica selysi,39350378,39350378,,,,
101,101,SRR15845536,Formica sanguinea,13607703,9766529,7131278,137760.0,80151.0,
102,102,SRR15845547,Formica pratensis,15609531,11580044,8684466,94199.0,54910.0,
103,103,SRR15845558,Formica pressilabris,15685221,11529548,8092106,121791.0,67202.0,
104,104,SRR15845569,Formica fusca,12093679,8821547,6798620,109043.0,60139.0,
105,105,SRR15845580,Formica tombeuri,15022324,10841386,8386703,88144.0,42310.0,
106,106,SRR15845591,Formica rufibarbis,24508591,24508591,,,,
